Region 23 Avg IOU: 0.085765, Class: 0.563840, Obj: 0.439057, No Obj: 0.495764, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.100878, Class: 0.670390, Obj: 0.400316, No Obj: 0.492104, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.219701, Class: 0.686805, Obj: 0.565441, No Obj: 0.495689, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.163332, Class: 0.345491, Obj: 0.419131, No Obj: 0.494167, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.244334, Class: 0.470787, Obj: 0.311658, No Obj: 0.494079, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.174622, Class: 0.735394, Obj: 0.456423, No Obj: 0.495158, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.147566, Class: 0.518941, Obj: 0.496300, No Obj: 0.494706, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.124412, Class: 0.330455, Obj: 0.443938, No Obj: 0.494546, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.170427, Class: 0.605150, Obj: 0.543405, No Obj: 0.495952, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.141413, Class: 0.464220, Obj: 0.521804, No Obj: 0.495604, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.197401, Class: 0.373129, Obj: 0.335915, No Obj: 0.496102, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.091903, Class: 0.437802, Obj: 0.401991, No Obj: 0.496724, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.142452, Class: 0.544751, Obj: 0.573926, No Obj: 0.496688, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.106847, Class: 0.327905, Obj: 0.585425, No Obj: 0.496622, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.116769, Class: 0.514551, Obj: 0.520034, No Obj: 0.496680, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.214569, Class: 0.570251, Obj: 0.363891, No Obj: 0.495707, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.746394, Class: 0.444086, Obj: 0.388099, No Obj: 0.466318, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 23 Avg IOU: 0.217240, Class: 0.284980, Obj: 0.538544, No Obj: 0.494038, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.176638, Class: 0.473806, Obj: 0.510668, No Obj: 0.496690, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.092347, Class: 0.508792, Obj: 0.446676, No Obj: 0.495175, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.101448, Class: 0.478175, Obj: 0.583678, No Obj: 0.494952, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.026541, Class: 0.553346, Obj: 0.478448, No Obj: 0.495005, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.365335, Class: 0.476357, Obj: 0.515610, No Obj: 0.495479, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.167702, Class: 0.468771, Obj: 0.516199, No Obj: 0.496203, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.232517, Class: 0.520892, Obj: 0.420489, No Obj: 0.494158, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.125211, Class: 0.572803, Obj: 0.573749, No Obj: 0.494234, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.138089, Class: 0.497305, Obj: 0.504212, No Obj: 0.494849, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.316454, Class: 0.515929, Obj: 0.362999, No Obj: 0.494352, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.139871, Class: 0.598770, Obj: 0.463524, No Obj: 0.494741, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.112949, Class: 0.444419, Obj: 0.528969, No Obj: 0.495784, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.143718, Class: 0.457194, Obj: 0.523114, No Obj: 0.495174, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.090299, Class: 0.481759, Obj: 0.442740, No Obj: 0.493969, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.067105, Class: 0.568149, Obj: 0.392402, No Obj: 0.494451, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.162981, Class: 0.486825, Obj: 0.426779, No Obj: 0.495232, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.164195, Class: 0.565836, Obj: 0.572141, No Obj: 0.495911, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.239080, Class: 0.637574, Obj: 0.340283, No Obj: 0.494928, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.074207, Class: 0.613615, Obj: 0.422029, No Obj: 0.494856, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.136162, Class: 0.526387, Obj: 0.530809, No Obj: 0.494161, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.079157, Class: 0.364799, Obj: 0.450048, No Obj: 0.492307, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.138421, Class: 0.373570, Obj: 0.402840, No Obj: 0.494733, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.194231, Class: 0.487940, Obj: 0.381512, No Obj: 0.495611, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.125086, Class: 0.491581, Obj: 0.473768, No Obj: 0.496490, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.201559, Class: 0.402249, Obj: 0.501770, No Obj: 0.495373, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.231205, Class: 0.383716, Obj: 0.419419, No Obj: 0.496617, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.246433, Class: 0.647946, Obj: 0.457170, No Obj: 0.493260, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.181839, Class: 0.520734, Obj: 0.498700, No Obj: 0.495912, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.150367, Class: 0.488819, Obj: 0.203752, No Obj: 0.468473, .5R: 0.000000, .75R: 0.000000,  count: 1
