254: 5.377645, 5.856189 avg, 0.000004 rate, 0.487930 seconds, 16256 images
255: 4.962036, 5.766774 avg, 0.000004 rate, 0.511704 seconds, 16320 images
256: 4.855309, 5.675627 avg, 0.000004 rate, 0.610153 seconds, 16384 images
257: 5.191111, 5.627176 avg, 0.000004 rate, 0.619948 seconds, 16448 images
258: 4.807788, 5.545237 avg, 0.000004 rate, 0.617713 seconds, 16512 images
259: 4.655977, 5.456311 avg, 0.000004 rate, 0.511726 seconds, 16576 images
260: 4.100065, 5.320687 avg, 0.000005 rate, 0.459655 seconds, 16640 images
261: 5.319160, 5.320534 avg, 0.000005 rate, 0.474087 seconds, 16704 images
262: 4.758311, 5.264312 avg, 0.000005 rate, 0.640973 seconds, 16768 images
263: 4.532855, 5.191166 avg, 0.000005 rate, 0.488877 seconds, 16832 images
264: 4.535335, 5.125583 avg, 0.000005 rate, 0.614624 seconds, 16896 images
265: 5.189112, 5.131936 avg, 0.000005 rate, 0.479820 seconds, 16960 images
266: 4.277416, 5.046484 avg, 0.000005 rate, 0.620431 seconds, 17024 images
267: 5.215236, 5.063359 avg, 0.000005 rate, 0.465986 seconds, 17088 images
268: 4.567669, 5.013790 avg, 0.000005 rate, 0.423668 seconds, 17152 images
269: 4.324225, 4.944833 avg, 0.000005 rate, 0.639158 seconds, 17216 images
270: 3.967344, 4.847085 avg, 0.000005 rate, 0.471620 seconds, 17280 images
271: 4.875524, 4.849928 avg, 0.000005 rate, 0.613577 seconds, 17344 images
272: 4.209658, 4.785902 avg, 0.000005 rate, 0.615781 seconds, 17408 images
273: 3.898870, 4.697198 avg, 0.000006 rate, 0.594521 seconds, 17472 images
274: 4.714240, 4.698903 avg, 0.000006 rate, 0.493913 seconds, 17536 images
275: 4.920245, 4.721037 avg, 0.000006 rate, 0.499795 seconds, 17600 images
276: 3.803736, 4.629307 avg, 0.000006 rate, 0.499256 seconds, 17664 images
277: 3.682069, 4.534583 avg, 0.000006 rate, 0.614808 seconds, 17728 images
278: 3.403944, 4.421519 avg, 0.000006 rate, 0.597789 seconds, 17792 images
279: 4.598061, 4.439173 avg, 0.000006 rate, 0.524485 seconds, 17856 images
280: 4.266587, 4.421915 avg, 0.000006 rate, 0.476343 seconds, 17920 images
281: 4.077008, 4.387424 avg, 0.000006 rate, 0.562914 seconds, 17984 images
282: 4.053722, 4.354054 avg, 0.000006 rate, 0.538106 seconds, 18048 images
283: 4.263542, 4.345003 avg, 0.000006 rate, 0.638857 seconds, 18112 images
284: 4.035543, 4.314057 avg, 0.000007 rate, 0.440010 seconds, 18176 images
285: 4.196313, 4.302282 avg, 0.000007 rate, 0.441778 seconds, 18240 images
286: 4.420149, 4.314069 avg, 0.000007 rate, 0.606048 seconds, 18304 images
287: 4.645947, 4.347257 avg, 0.000007 rate, 0.629123 seconds, 18368 images
288: 4.537650, 4.366296 avg, 0.000007 rate, 0.498648 seconds, 18432 images
289: 3.853534, 4.315020 avg, 0.000007 rate, 0.599905 seconds, 18496 images
290: 4.739361, 4.357454 avg, 0.000007 rate, 0.575754 seconds, 18560 images
291: 3.684083, 4.290117 avg, 0.000007 rate, 0.602802 seconds, 18624 images
292: 3.489879, 4.210093 avg, 0.000007 rate, 0.441700 seconds, 18688 images
293: 4.210088, 4.210093 avg, 0.000007 rate, 0.471434 seconds, 18752 images
294: 3.542922, 4.143375 avg, 0.000007 rate, 0.600749 seconds, 18816 images
295: 3.727154, 4.101753 avg, 0.000008 rate, 0.527549 seconds, 18880 images
296: 3.277588, 4.019337 avg, 0.000008 rate, 0.523875 seconds, 18944 images
297: 3.526076, 3.970011 avg, 0.000008 rate, 0.610160 seconds, 19008 images
298: 3.161198, 3.889129 avg, 0.000008 rate, 0.468656 seconds, 19072 images
299: 3.184999, 3.818716 avg, 0.000008 rate, 0.623944 seconds, 19136 images
300: 3.325213, 3.769366 avg, 0.000008 rate, 0.490880 seconds, 19200 images
301: 3.760793, 3.768508 avg, 0.000008 rate, 0.597025 seconds, 19264 images
302: 3.848225, 3.776480 avg, 0.000008 rate, 0.453149 seconds, 19328 images
303: 3.884124, 3.787245 avg, 0.000008 rate, 0.632166 seconds, 19392 images
304: 3.970686, 3.805589 avg, 0.000009 rate, 0.472411 seconds, 19456 images
305: 3.945266, 3.819556 avg, 0.000009 rate, 0.633177 seconds, 19520 images
306: 3.455073, 3.783108 avg, 0.000009 rate, 0.604693 seconds, 19584 images
307: 3.578897, 3.762687 avg, 0.000009 rate, 0.499652 seconds, 19648 images
308: 3.704889, 3.756907 avg, 0.000009 rate, 0.537568 seconds, 19712 images
309: 3.471638, 3.728380 avg, 0.000009 rate, 0.459967 seconds, 19776 images
310: 3.914913, 3.747034 avg, 0.000009 rate, 0.629215 seconds, 19840 images
311: 3.490278, 3.721358 avg, 0.000009 rate, 0.615247 seconds, 19904 images
312: 3.973499, 3.746572 avg, 0.000009 rate, 0.471208 seconds, 19968 images
313: 3.929397, 3.764855 avg, 0.000010 rate, 0.626103 seconds, 20032 images
314: 3.427253, 3.731094 avg, 0.000010 rate, 0.473561 seconds, 20096 images
315: 3.860167, 3.744002 avg, 0.000010 rate, 0.618191 seconds, 20160 images
316: 3.115557, 3.681157 avg, 0.000010 rate, 0.531958 seconds, 20224 images
317: 3.309088, 3.643950 avg, 0.000010 rate, 0.502812 seconds, 20288 images
318: 3.430419, 3.622597 avg, 0.000010 rate, 0.626966 seconds, 20352 images
319: 3.465881, 3.606925 avg, 0.000010 rate, 0.499861 seconds, 20416 images
320: 3.977827, 3.644016 avg, 0.000010 rate, 0.596188 seconds, 20480 images
321: 3.630873, 3.642701 avg, 0.000011 rate, 0.586950 seconds, 20544 images
322: 2.871119, 3.565543 avg, 0.000011 rate, 0.439060 seconds, 20608 images
323: 3.020689, 3.511058 avg, 0.000011 rate, 0.572481 seconds, 20672 images
324: 3.486859, 3.508638 avg, 0.000011 rate, 0.573922 seconds, 20736 images
325: 3.575353, 3.515309 avg, 0.000011 rate, 0.599077 seconds, 20800 images
326: 3.677268, 3.531505 avg, 0.000011 rate, 0.612961 seconds, 20864 images
327: 4.004723, 3.578827 avg, 0.000011 rate, 0.605151 seconds, 20928 images
328: 4.033102, 3.624254 avg, 0.000012 rate, 0.525281 seconds, 20992 images
329: 3.460749, 3.607904 avg, 0.000012 rate, 0.503770 seconds, 21056 images
330: 3.369344, 3.584048 avg, 0.000012 rate, 0.532484 seconds, 21120 images
331: 3.226416, 3.548285 avg, 0.000012 rate, 0.619520 seconds, 21184 images
332: 3.004405, 3.493897 avg, 0.000012 rate, 0.491196 seconds, 21248 images
333: 3.186953, 3.463202 avg, 0.000012 rate, 0.527722 seconds, 21312 images
